Participant ID,Trial,Timestamp,Timbre Class,Mode,Tempo,Rhythmic Regularity,Dynamic Variation,Hue,Saturation,Value,Path,Number of Nodes,Trial Duration,Confidence,Comments
0,1,2023-02-27 17:49:03.340 UTC,Bowed Strings,Chromatic,Fast,Syncopated,1,106.6242065,0.595541416,0.633333325,M 398.33333333333337 84.66666666666666 C 573.6666666666666 103.99999999999999 505.6666666666666 517.3333333333333 635.0 378.00000000000006 C 601.0 519.3333333333334 232.33333333333334 465.33333333333337 25.0 482.0 C 184.77777777777777 312.4444444444444 219.88888888888889 285.5555555555556 398.33333333333337 84.66666666666666 Z,3,92197,Slightly Confident,
0,2,2023-02-27 17:50:35.538 UTC,Percussion,Major,Slow,Irregular,0,58.47134462,0.404458582,1,M 149.66666666666669 120.0 C 232.66666666666669 120.66666666666666 228.33333333333331 50.0 322.0 178.0 C 431.6666666666667 50.0 361.33333333333337 200.66666666666666 382.33333333333337 225.33333333333334 C 395.6666666666667 244.99999999999997 635.0 206.66666666666669 427.6666666666667 266.3333333333333 C 635.0 363.3333333333333 526.3333333333333 367.6666666666667 533.6666666666666 430.0 C 474.66666666666663 421.3333333333333 431.6666666666667 520.0 330.0 356.00000000000006 C 228.33333333333331 520.0 283.33333333333337 341.3333333333333 269.6666666666667 322.66666666666663 C 255.66666666666666 301.0 25.0 363.3333333333333 237.66666666666666 265.0 C 25.0 206.66666666666669 123.66666666666667 207.66666666666663 149.66666666666669 120.0 Z,8,169102,Slightly Unsure,
0,3,2023-02-27 17:53:24.641 UTC,Bowed Strings,Minor Pentatonic,Moderate,Regular,0.67,180,0.165605122,0.99000001,M 252.33333333333331 182.66666666666669 C 365.66666666666663 107.33333333333334 304.33333333333326 102.66666666666667 421.00000000000006 197.33333333333337 C 635.0 206.66666666666666 635.0 363.33333333333337 635.0 520.0 C 605.4652777777778 512.2013888888889 575.9305555555555 504.40277777777777 518.3958333333334 393.27083333333337 C 496.52777777777777 461.1388888888889 446.65972222222223 425.67361111111114 396.79166666666663 390.20833333333337 C 404.8333333333333 465.5 331.5416666666667 430.125 258.25 394.75 C 269.1666666666667 489.16666666666663 196.08333333333331 467.5833333333333 123.0 445.99999999999994 C 94.41666666666667 389.24999999999994 65.83333333333333 332.5 125.91666666666666 239.75 C 161.83333333333334 213.83333333333334 197.08333333333334 197.25 252.33333333333331 182.66666666666669 Z,8,112278,Confident,
0,4,2023-02-27 17:55:16.920 UTC,Percussion,Minor Pentatonic,Fast,Regular,0.67,301.529472,0.085987277,0.946666658,M 247.66666666666666 251.33333333333334 C 280.0833333333333 224.66666666666669 231.16666666666666 205.99999999999997 269.5833333333333 180.0 C 308.26388888888886 156.7222222222222 328.2777777777777 213.44444444444446 367.62499999999994 184.16666666666669 C 407.6388888888888 153.22222222222229 386.9861111111111 289.6111111111111 419.6666666666667 259.33333333333337 C 459.1388888888889 222.61111111111117 436.6111111111111 345.22222222222223 452.0833333333333 323.1666666666667 C 479.15277777777777 291.3055555555556 411.55555555555554 392.7777777777778 423.29166666666663 360.25000000000006 C 423.86111111111114 321.72222222222223 373.0972222222223 380.52777777777777 355.6666666666667 400.6666666666667 C 332.99999999999994 426.6666666666667 275.0 399.33333333333337 289.0 342.6666666666667 C 312.3333333333333 284.66666666666674 218.33333333333334 274.66666666666663 247.66666666666666 251.33333333333334 Z,8,127602,Unsure,
0,5,2023-02-27 17:57:24.523 UTC,Woodwind,Major,Moderate,Syncopated,0,14.9043432,0.047770679,1,M 310.33333333333326 138.00000000000003 C 430.33333333333337 141.33333333333331 445.66666666666663 236.66666666666669 443.6666666666667 292.0 C 441.6666666666667 356.0 422.33333333333337 486.66666666666674 325.6666666666667 488.6666666666667 C 221.66666666666663 491.3333333333333 183.0 366.0 180.33333333333331 273.3333333333334 C 183.66666666666666 187.33333333333334 227.00000000000003 141.33333333333331 310.33333333333326 138.00000000000003 Z,4,91392,Slightly Unsure,
0,6,2023-02-27 17:58:55.916 UTC,Brass,Minor,Slow,Irregular,0.33,225.8598734,1,0.313333333,M 98.33333333333333 67.33333333333334 C 140.2777777777778 68.94444444444444 148.8888888888889 63.8888888888889 183.5 60.166666666666664 C 243.58333333333334 121.47222222222221 303.6666666666667 182.77777777777777 363.75 244.08333333333331 C 411.49999999999994 216.05555555555551 425.25 206.69444444444446 471.00000000000006 170.66666666666669 C 426.3333333333333 256.66666666666663 399.00000000000006 298.00000000000006 396.3333333333333 352.66666666666663 C 298.99999999999994 358.6666666666667 258.33333333333337 360.0 214.33333333333334 375.3333333333333 C 178.33333333333334 376.6666666666667 25.0 206.66666666666666 98.33333333333333 67.33333333333334 Z,6,117087,Very Confident,
0,7,2023-02-27 18:00:53.003 UTC,Brass,Major,Fast,Irregular,0,231.5923591,0.742038223,0.856666684,M 117.0 184.0 C 243.0 181.33333333333334 417.66666666666663 166.0 635.0 177.33333333333331 C 634.6944444444445 212.30555555555554 634.3888888888889 247.27777777777777 569.4166666666666 218.91666666666669 C 587.2083333333333 252.12500000000003 605.0 285.33333333333337 570.7916666666666 323.87500000000006 C 624.4166666666666 335.9166666666667 626.0416666666666 353.2916666666667 627.6666666666666 370.6666666666667 C 417.66666666666663 380.6666666666667 317.6666666666667 385.3333333333333 132.33333333333334 387.99999999999994 C 129.0 319.33333333333337 121.66666666666667 259.3333333333333 117.0 184.0 Z,6,102036,Unsure,
0,8,2023-02-27 18:02:35.039 UTC,Percussion,Minor,Moderate,Irregular,0.33,314.1400773,0.197452247,1,M 25.0 50.0 C 188.33333333333334 160.0 233.66666666666663 180.66666666666669 430.3333333333333 333.3333333333333 C 451.41666666666663 344.1111111111111 472.5 354.88888888888886 493.5833333333333 365.66666666666663 C 538.8333333333334 347.7777777777777 584.0833333333334 329.88888888888886 629.3333333333334 311.99999999999994 C 618.1944444444445 360.99999999999994 607.0555555555555 410.0 595.9166666666666 459.0 C 608.9444444444445 479.3333333333333 621.9722222222222 499.6666666666667 635.0 520.0 C 584.4444444444445 515.0277777777778 533.8888888888889 510.05555555555554 483.3333333333333 505.0833333333333 C 434.44444444444446 470.27777777777777 385.55555555555554 435.47222222222223 336.6666666666667 400.6666666666667 C 283.8888888888889 435.47222222222223 231.11111111111111 470.2777777777778 178.33333333333334 505.08333333333337 C 127.22222222222223 510.0555555555556 76.11111111111111 515.0277777777778 25.0 520.0 C 31.583333333333332 481.8611111111111 38.166666666666664 443.72222222222223 44.75 405.5833333333333 C 90.83333333333334 373.6111111111111 136.91666666666666 341.63888888888886 183.0 309.66666666666663 C 136.91666666666666 263.30555555555554 90.83333333333334 216.94444444444443 44.75 170.58333333333331 C 38.166666666666664 130.38888888888889 31.583333333333332 90.19444444444443 25.0 50.0 Z,13,166798,Very Confident,
0,9,2023-02-27 18:05:21.837 UTC,Plucked Strings,Major,Moderate,Irregular,0,41.27387322,0.824840769,1,M 25.0 50.0 C 85.00000000000001 474.0 474.99999999999994 300.0 635.0 520.0 C 622.3333333333333 206.00000000000003 173.0 264.0 25.0 50.0 Z,2,87732,Slightly Confident,
0,10,2023-02-27 18:06:49.570 UTC,Bowed Strings,Minor,Slow,Regular,0.67,64.20376603,0.127388502,0.903333306,M 25.0 50.0 C 76.19444444444446 56.94444444444445 128.05555555555557 53.88888888888889 189.25 54.16666666666667 C 187.48611111111111 108.44444444444446 185.72222222222223 162.72222222222223 183.95833333333334 217.00000000000003 C 233.08333333333334 271.33333333333337 282.20833333333337 325.6666666666667 331.33333333333337 380.0 C 373.84722222222223 326.19444444444446 416.36111111111114 272.3888888888889 458.875 218.5833333333334 C 457.55555555555554 164.44444444444449 456.23611111111114 110.30555555555559 454.9166666666667 56.16666666666668 C 532.7222222222223 57.22222222222223 584.5277777777778 56.94444444444445 635.0 50.0 C 635.0 128.33333333333331 635.0 206.66666666666669 635.0 285.0 C 562.6666666666666 388.0 530.3333333333334 425.6666666666667 482.6666666666667 518.6666666666665 C 279.1666666666667 520.0 228.33333333333334 520.0 177.5 520.0 C 126.66666666666666 441.6666666666667 75.83333333333334 363.3333333333333 25.0 285.0 C 25.0 206.66666666666669 25.0 128.33333333333331 25.0 50.0 Z,11,142768,Slightly Confident,
